adset_id,account_name,decision_date,source,trigger,model,action,brief_action,amount,execution_status,amount_pct,hours,confidence,reasoning,data_quality_flags,self_assessment,gate_notes,budget_removed,input_tokens,output_tokens,cache_read_tokens,cost_usd,raw_output,input_json
730122709357812221,ACC-01,2026-06-10,llm,sent,claude-haiku-4-5,escalate,escalate,,pending_human,,,0.45,"New adset day 1 with extreme ROI swing: yesterday +62%, today -48% despite buyer tripling budget mid-day from $1.27 to $3.81. Conflicting signals suggest data issue or fundamental problem requiring human review.","[""extreme_roi_volatility"", ""budget_change_mid_day""]",,[],0.0,2394,121,0,0.003,"{""action"": ""escalate"", ""amount_pct"": null, ""hours"": null, ""confidence"": 0.45, ""reasoning"": ""New adset day 1 with extreme ROI swing: yesterday +62%, today -48% despite buyer tripling budget mid-day from $1.27 to $3.81. Conflicting signals suggest data issue or fundamental problem requiring human review."", ""data_quality_flags"": [""extreme_roi_volatility"", ""budget_change_mid_day""], ""self_assessment"": null}","{""engine_now"": {""spend_now"": 41.49, ""revenue_now"": 21.58, ""profit_now"": -19.91, ""roi_now"": -0.4799, ""current_budget"": 3.81, ""buyer_budget"": 3.81, ""hours_into_day"": 24, ""spend_day_no"": 1, ""last_7_days"": [{""date"": ""2026-06-09"", ""spend"": 27.4, ""revenue"": 44.39, ""profit"": 16.99, ""roi"": 0.6201, ""conversions"": 71.0}]}, ""metadata"": {""bid_strategy"": ""LOWEST_COST_WITHOUT_CAP"", ""roas_target"": null, ""daily_budget"": 19.05, ""geo_count"": 65, ""effective_status"": ""ACTIVE""}, ""history"": {""buyer_actions_24h"": [{""action_time"": ""2026-06-10 11:06:36.262577+00"", ""event_type"": ""ui_update_budget"", ""old_budget"": 1.27, ""new_budget"": 3.81, ""note"": null}], ""agent_log_48h"": []}, ""data_quality_flags"": [], ""is_shark"": false, ""allowed_actions"": [""wait"", ""diminish"", ""untrack"", ""escalate""], ""self_assessment_required"": false}"
730131929701188206,ACC-02,2026-06-10,llm,sent,claude-haiku-4-5,escalate,escalate,,pending_human,,,0.45,Day 4 with severe ROI -63% after profitable days 1-3 and major buyer budget cuts today (6.35→3.81→2.54). Conflicting signals: data quality unclear. Human judgment needed.,"[""sudden_roi_reversal"", ""buyer_multiple_cuts_same_day""]",,[],0.0,2615,111,0,0.00317,"{""action"":""escalate"",""amount_pct"":null,""hours"":null,""confidence"":0.45,""reasoning"":""Day 4 with severe ROI -63% after profitable days 1-3 and major buyer budget cuts today (6.35→3.81→2.54). Conflicting signals: data quality unclear. Human judgment needed."",""data_quality_flags"":[""sudden_roi_reversal"",""buyer_multiple_cuts_same_day""],""self_assessment"":null}","{""engine_now"": {""spend_now"": 5.0292, ""revenue_now"": 1.8542, ""profit_now"": -3.175, ""roi_now"": -0.6313, ""current_budget"": 2.54, ""buyer_budget"": 2.54, ""hours_into_day"": 24, ""spend_day_no"": 4, ""last_7_days"": [{""date"": ""2026-06-09"", ""spend"": 3.0353, ""revenue"": 3.8989, ""profit"": 0.8636, ""roi"": 0.2845, ""conversions"": 17.0}, {""date"": ""2026-06-07"", ""spend"": 2.0447, ""revenue"": 1.9685, ""profit"": -0.0762, ""roi"": -0.0373, ""conversions"": 10.0}, {""date"": ""2026-06-08"", ""spend"": 1.9177, ""revenue"": 1.9431, ""profit"": 0.0254, ""roi"": 0.0132, ""conversions"": 12.0}, {""date"": ""2026-06-06"", ""spend"": 0.0, ""revenue"": null, ""profit"": null, ""roi"": 0.0, ""conversions"": null}]}, ""metadata"": {""bid_strategy"": ""LOWEST_COST_WITHOUT_CAP"", ""roas_target"": null, ""daily_budget"": 1.778, ""geo_count"": 65, ""effective_status"": ""ACTIVE""}, ""history"": {""buyer_actions_24h"": [{""action_time"": ""2026-06-10 09:00:37.59865+00"", ""event_type"": ""ui_adjust_budget"", ""old_budget"": 6.35, ""new_budget"": 3.81, ""note"": null}, {""action_time"": ""2026-06-10 13:50:08.580092+00"", ""event_type"": ""ui_update_budget"", ""old_budget"": 3.81, ""new_budget"": 2.54, ""note"": null}], ""agent_log_48h"": []}, ""data_quality_flags"": [], ""is_shark"": false, ""allowed_actions"": [""wait"", ""diminish"", ""untrack"", ""escalate""], ""self_assessment_required"": false}"
730113018329189375,ACC-02,2026-06-10,llm,sent,claude-haiku-4-5,wait,keep,,no_change,,4.0,0.65,Day 3 with one bad day after two profitable days. Buyer just cut budget from 10.16 to 6.1 today; wait to see if spending stabilizes at new budget before acting.,[],,[],0.0,2507,87,0,0.00294,"{""action"":""wait"",""amount_pct"":null,""hours"":4,""confidence"":0.65,""reasoning"":""Day 3 with one bad day after two profitable days. Buyer just cut budget from 10.16 to 6.1 today; wait to see if spending stabilizes at new budget before acting."",""data_quality_flags"":[],""self_assessment"":null}","{""engine_now"": {""spend_now"": 8.3439, ""revenue_now"": 6.8453, ""profit_now"": -1.4986, ""roi_now"": -0.1796, ""current_budget"": 6.1, ""buyer_budget"": 6.1, ""hours_into_day"": 24, ""spend_day_no"": 3, ""last_7_days"": [{""date"": ""2026-06-08"", ""spend"": 3.9243, ""revenue"": 12.7635, ""profit"": 8.8392, ""roi"": 2.2524, ""conversions"": 13.0}, {""date"": ""2026-06-09"", ""spend"": 9.6774, ""revenue"": 11.4935, ""profit"": 1.8161, ""roi"": 0.1877, ""conversions"": 26.0}, {""date"": ""2026-06-07"", ""spend"": 0.0, ""revenue"": null, ""profit"": null, ""roi"": 0.0, ""conversions"": null}]}, ""metadata"": {""bid_strategy"": ""LOWEST_COST_WITH_MIN_ROAS"", ""roas_target"": 0.74, ""daily_budget"": 1.27, ""geo_count"": 65, ""effective_status"": ""ACTIVE""}, ""history"": {""buyer_actions_24h"": [{""action_time"": ""2026-06-10 09:00:37.5889+00"", ""event_type"": ""ui_adjust_budget"", ""old_budget"": 10.16, ""new_budget"": 6.1, ""note"": ""weekend boost""}], ""agent_log_48h"": []}, ""data_quality_flags"": [], ""is_shark"": false, ""allowed_actions"": [""wait"", ""diminish"", ""untrack"", ""escalate""], ""self_assessment_required"": false}"
730119487809115633,ACC-02,2026-06-10,llm,sent,claude-haiku-4-5,wait,keep,,no_change,,2.0,0.65,"Day 9 shows a downtrend: last 4 days mostly negative, but ROI is -14.7%, not severe. Buyer already adjusted budget twice today; wait before cutting to see stabilization.",[],,[],0.0,2634,88,0,0.00307,"{""action"":""wait"",""amount_pct"":null,""hours"":2,""confidence"":0.65,""reasoning"":""Day 9 shows a downtrend: last 4 days mostly negative, but ROI is -14.7%, not severe. Buyer already adjusted budget twice today; wait before cutting to see stabilization."",""data_quality_flags"":[],""self_assessment"":null}","{""engine_now"": {""spend_now"": 4.3942, ""revenue_now"": 3.7465, ""profit_now"": -0.6477, ""roi_now"": -0.1474, ""current_budget"": 3.81, ""buyer_budget"": 3.81, ""hours_into_day"": 24, ""spend_day_no"": 9, ""last_7_days"": [{""date"": ""2026-06-07"", ""spend"": 5.8166, ""revenue"": 7.7978, ""profit"": 1.9812, ""roi"": 0.3406, ""conversions"": 13.0}, {""date"": ""2026-06-06"", ""spend"": 2.9718, ""revenue"": 4.0005, ""profit"": 1.0287, ""roi"": 0.3462, ""conversions"": 5.0}, {""date"": ""2026-06-08"", ""spend"": 3.6957, ""revenue"": 3.2639, ""profit"": -0.4318, ""roi"": -0.1168, ""conversions"": 5.0}, {""date"": ""2026-06-09"", ""spend"": 3.4544, ""revenue"": 2.5908, ""profit"": -0.8636, ""roi"": -0.25, ""conversions"": 5.0}]}, ""metadata"": {""bid_strategy"": ""LOWEST_COST_WITH_MIN_ROAS"", ""roas_target"": 0.9, ""daily_budget"": 12.7, ""geo_count"": 65, ""effective_status"": ""ACTIVE""}, ""history"": {""buyer_actions_24h"": [{""action_time"": ""2026-06-10 08:48:08.534473+00"", ""event_type"": ""ui_update_budget"", ""old_budget"": 3.81, ""new_budget"": 6.35, ""note"": null}, {""action_time"": ""2026-06-10 16:42:51.426618+00"", ""event_type"": ""ui_update_budget"", ""old_budget"": 6.35, ""new_budget"": 3.81, ""note"": null}], ""agent_log_48h"": []}, ""data_quality_flags"": [], ""is_shark"": false, ""allowed_actions"": [""wait"", ""diminish"", ""untrack"", ""escalate""], ""self_assessment_required"": false}"
730119979220314198,ACC-03,2026-06-10,llm,sent,claude-haiku-4-5,wait,keep,,no_change,,4.0,0.75,Shark adset with one bad day after 4 profitable days. Buyer cut budget twice today (66.55→53.24→42.6). Wait to isolate today's performance from buyer's recent changes before acting.,[],,[],0.0,2631,91,0,0.00309,"{""action"":""wait"",""amount_pct"":null,""hours"":4,""confidence"":0.75,""reasoning"":""Shark adset with one bad day after 4 profitable days. Buyer cut budget twice today (66.55→53.24→42.6). Wait to isolate today's performance from buyer's recent changes before acting."",""data_quality_flags"":[],""self_assessment"":null}","{""engine_now"": {""spend_now"": 53.7718, ""revenue_now"": 41.8973, ""profit_now"": -11.8745, ""roi_now"": -0.2208, ""current_budget"": 42.6, ""buyer_budget"": 42.6, ""hours_into_day"": 24, ""spend_day_no"": 7, ""last_7_days"": [{""date"": ""2026-06-06"", ""spend"": 34.5567, ""revenue"": 92.3671, ""profit"": 57.8104, ""roi"": 1.6729, ""conversions"": 19.0}, {""date"": ""2026-06-07"", ""spend"": 76.3016, ""revenue"": 113.8428, ""profit"": 37.5412, ""roi"": 0.492, ""conversions"": 23.0}, {""date"": ""2026-06-08"", ""spend"": 55.5625, ""revenue"": 86.1949, ""profit"": 30.6324, ""roi"": 0.5513, ""conversions"": 21.0}, {""date"": ""2026-06-09"", ""spend"": 55.3212, ""revenue"": 116.4082, ""profit"": 61.087, ""roi"": 1.1042, ""conversions"": 27.0}]}, ""metadata"": {""bid_strategy"": ""LOWEST_COST_WITHOUT_CAP"", ""roas_target"": null, ""daily_budget"": 43.510200000000005, ""geo_count"": 157, ""effective_status"": ""ACTIVE""}, ""history"": {""buyer_actions_24h"": [{""action_time"": ""2026-06-10 09:01:02.43515+00"", ""event_type"": ""ui_adjust_budget"", ""old_budget"": 66.55, ""new_budget"": 53.24, ""note"": null}, {""action_time"": ""2026-06-10 16:40:56.347512+00"", ""event_type"": ""ui_adjust_budget"", ""old_budget"": 53.24, ""new_budget"": 42.6, ""note"": null}], ""agent_log_48h"": []}, ""data_quality_flags"": [], ""is_shark"": true, ""allowed_actions"": [""wait"", ""diminish"", ""untrack"", ""escalate""], ""self_assessment_required"": false}"
730128082165783322,ACC-03,2026-06-10,llm,sent,claude-haiku-4-5,pause,pause,,applied,,2.0,0.75,"Day 4 shows severe ROI decline (-55%) after profitable days 1-3. Pausing for 2 hours lets revenue settle; small adset, worth testing if revenue catches up before deeper cuts.",[],,[],0.85,2495,88,0,0.00294,"{""action"":""pause"",""amount_pct"":null,""hours"":2,""confidence"":0.75,""reasoning"":""Day 4 shows severe ROI decline (-55%) after profitable days 1-3. Pausing for 2 hours lets revenue settle; small adset, worth testing if revenue catches up before deeper cuts."",""data_quality_flags"":[],""self_assessment"":null}","{""engine_now"": {""spend_now"": 3.8862, ""revenue_now"": 1.7526, ""profit_now"": -2.1336, ""roi_now"": -0.549, ""current_budget"": 10.16, ""buyer_budget"": 10.16, ""hours_into_day"": 24, ""spend_day_no"": 4, ""last_7_days"": [{""date"": ""2026-06-07"", ""spend"": 3.0353, ""revenue"": 6.8834, ""profit"": 3.8481, ""roi"": 1.2678, ""conversions"": 5.0}, {""date"": ""2026-06-09"", ""spend"": 8.0645, ""revenue"": 7.0612, ""profit"": -1.0033, ""roi"": -0.1244, ""conversions"": 10.0}, {""date"": ""2026-06-08"", ""spend"": 4.6863, ""revenue"": 5.7785, ""profit"": 1.0922, ""roi"": 0.2331, ""conversions"": 11.0}, {""date"": ""2026-06-06"", ""spend"": 0.0, ""revenue"": null, ""profit"": null, ""roi"": 0.0, ""conversions"": null}]}, ""metadata"": {""bid_strategy"": ""LOWEST_COST_WITHOUT_CAP"", ""roas_target"": null, ""daily_budget"": 10.16, ""geo_count"": 65, ""effective_status"": ""ACTIVE""}, ""history"": {""buyer_actions_24h"": [], ""agent_log_48h"": []}, ""data_quality_flags"": [], ""is_shark"": false, ""allowed_actions"": [""wait"", ""diminish"", ""pause"", ""untrack"", ""escalate""], ""self_assessment_required"": false}"
730121683624182281,ACC-03,2026-06-10,llm,sent,claude-haiku-4-5,escalate,escalate,,pending_human,,,0.45,"Aged day 3, ROI -38% with spend ≥ 3 USD triggers loss bar. Buyer cut budget twice today (3.81→3.05→2.44). Yesterday ROI was -11%. Conflicting trend direction with buyer's aggressive cuts; human decision needed.",[],,[],0.0,2564,109,0,0.00311,"{""action"":""escalate"",""amount_pct"":null,""hours"":null,""confidence"":0.45,""reasoning"":""Aged day 3, ROI -38% with spend ≥ 3 USD triggers loss bar. Buyer cut budget twice today (3.81→3.05→2.44). Yesterday ROI was -11%. Conflicting trend direction with buyer's aggressive cuts; human decision needed."",""data_quality_flags"":[],""self_assessment"":null}","{""engine_now"": {""spend_now"": 3.175, ""revenue_now"": 1.9558, ""profit_now"": -1.2192, ""roi_now"": -0.384, ""current_budget"": 2.44, ""buyer_budget"": 2.44, ""hours_into_day"": 24, ""spend_day_no"": 3, ""last_7_days"": [{""date"": ""2026-06-09"", ""spend"": 3.8227, ""revenue"": 4.5466, ""profit"": 0.7239, ""roi"": 0.1894, ""conversions"": 17.0}, {""date"": ""2026-06-08"", ""spend"": 3.4036, ""revenue"": 3.0353, ""profit"": -0.3683, ""roi"": -0.1082, ""conversions"": 2.0}, {""date"": ""2026-06-07"", ""spend"": 0.0, ""revenue"": null, ""profit"": null, ""roi"": 0.0, ""conversions"": null}]}, ""metadata"": {""bid_strategy"": ""LOWEST_COST_WITH_MIN_ROAS"", ""roas_target"": 0.74, ""daily_budget"": 8.128, ""geo_count"": 65, ""effective_status"": ""ACTIVE""}, ""history"": {""buyer_actions_24h"": [{""action_time"": ""2026-06-10 09:01:02.712251+00"", ""event_type"": ""ui_adjust_budget"", ""old_budget"": 3.81, ""new_budget"": 3.05, ""note"": null}, {""action_time"": ""2026-06-10 16:40:56.385107+00"", ""event_type"": ""ui_adjust_budget"", ""old_budget"": 3.05, ""new_budget"": 2.44, ""note"": null}], ""agent_log_48h"": []}, ""data_quality_flags"": [], ""is_shark"": false, ""allowed_actions"": [""wait"", ""diminish"", ""untrack"", ""escalate""], ""self_assessment_required"": false}"
730172018151815904,ACC-03,2026-06-10,llm,sent,claude-haiku-4-5,wait,keep,,no_change,,4.0,0.75,Day 7 shows one bad day (-36% ROI) after a profitable trend (days 6-8: +24-30% ROI). Buyer cut budget today from 2.67 to 1.74. Watch impact of buyer's cut before acting further.,[],,[],0.0,2567,102,0,0.00308,"{""action"":""wait"",""amount_pct"":null,""hours"":4,""confidence"":0.75,""reasoning"":""Day 7 shows one bad day (-36% ROI) after a profitable trend (days 6-8: +24-30% ROI). Buyer cut budget today from 2.67 to 1.74. Watch impact of buyer's cut before acting further."",""data_quality_flags"":[],""self_assessment"":null}","{""engine_now"": {""spend_now"": 3.1115, ""revenue_now"": 1.9812, ""profit_now"": -1.1303, ""roi_now"": -0.3633, ""current_budget"": 1.74, ""buyer_budget"": 1.74, ""hours_into_day"": 24, ""spend_day_no"": 7, ""last_7_days"": [{""date"": ""2026-06-07"", ""spend"": 6.0325, ""revenue"": 7.8232, ""profit"": 1.7907, ""roi"": 0.2968, ""conversions"": 18.0}, {""date"": ""2026-06-08"", ""spend"": 5.3848, ""revenue"": 6.6421, ""profit"": 1.2573, ""roi"": 0.2335, ""conversions"": 13.0}, {""date"": ""2026-06-09"", ""spend"": 4.1402, ""revenue"": 4.318, ""profit"": 0.1778, ""roi"": 0.0429, ""conversions"": 7.0}, {""date"": ""2026-06-06"", ""spend"": 2.2606, ""revenue"": 2.2733, ""profit"": 0.0127, ""roi"": 0.0056, ""conversions"": 8.0}]}, ""metadata"": {""bid_strategy"": ""LOWEST_COST_WITHOUT_CAP"", ""roas_target"": null, ""daily_budget"": 1.27, ""geo_count"": 226, ""effective_status"": ""ACTIVE""}, ""history"": {""buyer_actions_24h"": [{""action_time"": ""2026-06-10 08:59:37.329089+00"", ""event_type"": ""ui_adjust_budget"", ""old_budget"": 2.67, ""new_budget"": 1.74, ""note"": null}], ""agent_log_48h"": []}, ""data_quality_flags"": [], ""is_shark"": false, ""allowed_actions"": [""wait"", ""diminish"", ""untrack"", ""escalate""], ""self_assessment_required"": false}"
31626016833981,ACC-04,2026-06-10,llm,sent,claude-haiku-4-5,wait,keep,,no_change,,4.0,0.65,"Shark with volatile but mixed 7-day history: 2 profitable days, 2 losing. Today's -16% after buyer's budget cut yesterday warrants observation before action. Re-check in 4 hours.",[],,[],0.0,2565,91,0,0.00302,"{""action"":""wait"",""amount_pct"":null,""hours"":4,""confidence"":0.65,""reasoning"":""Shark with volatile but mixed 7-day history: 2 profitable days, 2 losing. Today's -16% after buyer's budget cut yesterday warrants observation before action. Re-check in 4 hours."",""data_quality_flags"":[],""self_assessment"":null}","{""engine_now"": {""spend_now"": 68.3895, ""revenue_now"": 57.277, ""profit_now"": -11.1125, ""roi_now"": -0.1625, ""current_budget"": 66.0, ""buyer_budget"": 66.0, ""hours_into_day"": 24, ""spend_day_no"": 13, ""last_7_days"": [{""date"": ""2026-06-06"", ""spend"": 85.5853, ""revenue"": 138.3665, ""profit"": 52.7812, ""roi"": 0.6167, ""conversions"": 39.0}, {""date"": ""2026-06-07"", ""spend"": 117.856, ""revenue"": 115.1001, ""profit"": -2.7559, ""roi"": -0.0234, ""conversions"": 43.0}, {""date"": ""2026-06-08"", ""spend"": 84.5566, ""revenue"": 90.9828, ""profit"": 6.4262, ""roi"": 0.076, ""conversions"": 38.0}, {""date"": ""2026-06-09"", ""spend"": 82.6516, ""revenue"": 62.1792, ""profit"": -20.4724, ""roi"": -0.2477, ""conversions"": 27.0}]}, ""metadata"": {""bid_strategy"": ""LOWEST_COST_WITHOUT_CAP"", ""roas_target"": null, ""daily_budget"": 31.6738, ""geo_count"": 198, ""effective_status"": ""ACTIVE""}, ""history"": {""buyer_actions_24h"": [{""action_time"": ""2026-06-10 19:30:04+00"", ""event_type"": ""update_ad_set_budget"", ""old_budget"": 82.51, ""new_budget"": 66.0, ""note"": null}], ""agent_log_48h"": []}, ""data_quality_flags"": [], ""is_shark"": true, ""allowed_actions"": [""wait"", ""diminish"", ""untrack"", ""escalate""], ""self_assessment_required"": false}"
31167350331032,ACC-04,2026-06-10,llm,sent,claude-haiku-4-5,escalate,escalate,,pending_human,,,0.45,Day 5 shows complete revenue collapse (0.0) despite conversions logged earlier in week. Budget halved by buyer today. Conflicting signals: conversions present but zero revenue suggests data integrity issue or attribution break. Requires human review.,"[""zero_revenue_with_historical_conversions"", ""possible_attribution_failure""]",,[],0.0,2564,112,0,0.00312,"{""action"":""escalate"",""amount_pct"":null,""hours"":null,""confidence"":0.45,""reasoning"":""Day 5 shows complete revenue collapse (0.0) despite conversions logged earlier in week. Budget halved by buyer today. Conflicting signals: conversions present but zero revenue suggests data integrity issue or attribution break. Requires human review."",""data_quality_flags"":[""zero_revenue_with_historical_conversions"",""possible_attribution_failure""],""self_assessment"":null}","{""engine_now"": {""spend_now"": 9.0424, ""revenue_now"": 0.0, ""profit_now"": -9.0424, ""roi_now"": -1.0, ""current_budget"": 3.18, ""buyer_budget"": 3.18, ""hours_into_day"": 24, ""spend_day_no"": 5, ""last_7_days"": [{""date"": ""2026-06-09"", ""spend"": 3.3274, ""revenue"": 0.0, ""profit"": -3.3274, ""roi"": -1.0, ""conversions"": 0.0}, {""date"": ""2026-06-06"", ""spend"": 1.5748, ""revenue"": 3.4671, ""profit"": 1.8923, ""roi"": 1.2016, ""conversions"": 1.0}, {""date"": ""2026-06-08"", ""spend"": 7.2771, ""revenue"": 8.3058, ""profit"": 1.0287, ""roi"": 0.1414, ""conversions"": 2.0}, {""date"": ""2026-06-07"", ""spend"": 8.0772, ""revenue"": 20.3454, ""profit"": 12.2682, ""roi"": 1.5189, ""conversions"": 7.0}]}, ""metadata"": {""bid_strategy"": ""LOWEST_COST_WITHOUT_CAP"", ""roas_target"": null, ""daily_budget"": 3.175, ""geo_count"": 65, ""effective_status"": ""ACTIVE""}, ""history"": {""buyer_actions_24h"": [{""action_time"": ""2026-06-10 09:00:49.487544+00"", ""event_type"": ""ui_adjust_budget"", ""old_budget"": 6.35, ""new_budget"": 3.18, ""note"": null}], ""agent_log_48h"": []}, ""data_quality_flags"": [], ""is_shark"": false, ""allowed_actions"": [""wait"", ""diminish"", ""untrack"", ""escalate""], ""self_assessment_required"": false}"
